============================================================================
COMPLETE LIST OF EXPORTED FIREBASE CLOUD FUNCTIONS
Source: sos/firebase/functions/src/index.ts (and all referenced modules)
Generated: 2026-02-22
============================================================================

Format: FUNCTION_NAME | TYPE | REGION
scheduledProcessUnclaimedFunds | onSchedule | europe-west3
scheduledSitemapGeneration | onSchedule | europe-west3
scheduledSitemapPing | onSchedule | europe-west3
securityAlertAdminAction | onCall | europe-west3
securityDailyCleanup | onSchedule | europe-west3
securityDailyReport | onSchedule | europe-west3
sendAnniversaryEmails | onSchedule | europe-west3
sendChatterDripMessages | onSchedule | europe-west2
sendContactReply | onCall | europe-west1
sendCustomPasswordResetEmail | onCall | europe-west1
sendFilingReminders | onSchedule | europe-west1
sendMonthlyStats | onSchedule | europe-west3
sendPayoutSuccessEmail | onDocumentUpdated | europe-west3
sendPayPalVerificationCode | onCall | europe-west1
sendQuotaAlerts | onSchedule | europe-west3
sendWeeklyStats | onSchedule | europe-west3
sendWeeklyThresholdReport | onSchedule | europe-west1 (global default)
setAdminClaims | onCall | europe-west1
setFreeAiAccess (subscriptionSetFreeAccess) | onCall (v1) | europe-west1
setProviderAvailableTask | onRequest | europe-west3
setProviderBadge | onCall | europe-west1
setProviderOffline | onCall | europe-west1
sitemapFaq | onRequest | europe-west1
sitemapHelp | onRequest | europe-west1
sitemapLanding | onRequest | europe-west1
sitemapProfiles | onRequest | europe-west1
skipTelegramOnboarding | onCall | europe-west2
softDeleteProvider | onCall | europe-west1
stopAutoresponders | onSchedule | europe-west3
stopAutorespondersForUser | onCall | europe-west1
stripeWebhook | onRequest | europe-west3
stuckPaymentsRecovery | onSchedule | europe-west3
submitFeedback | onCall | europe-west1
submitForValidation | onCall | europe-west1
submitGroup | onCall | europe-west2
submitChatterTrainingQuiz | onCall | europe-west2
submitInfluencerTrainingQuiz | onCall | europe-west2
submitPost | onCall | europe-west2
subscriptionCancel | onCall (v1) | europe-west1
subscriptionCheckQuota | onCall (v1) | europe-west1
subscriptionCreate | onCall (v1) | europe-west1
subscriptionPortal | onCall (v1) | europe-west1
subscriptionReactivate | onCall (v1) | europe-west1
subscriptionRecordCall | onCall (v1) | europe-west1
subscriptionSetFreeAccess | onCall (v1) | europe-west1
subscriptionUpdate | onCall (v1) | europe-west1
subscriptionUpdatePlanPricing | onCall | europe-west1
subscriptionUpdatePlanPricingV2 | onCall | europe-west1
subscriptionUpdateTrialConfig | onCall | europe-west1
subscriptionUpdateTrialConfigV2 | onCall | europe-west1
suspendProvider | onCall | europe-west1
syncAllCustomClaims | onCall | europe-west1
syncFromOutil | onRequest | europe-west3
syncSubscriptionPlansToStripe | onCall (v1) | europe-west1

============================================================================
T
============================================================================
telegram_cancelCampaign | onCall | europe-west1
telegram_createCampaign | onCall | europe-west1
telegram_getCampaignDetail | onCall | europe-west1
telegram_getCampaigns | onCall | europe-west1
telegram_getConfig | onCall | europe-west1
telegram_getChatId | onCall | europe-west1
telegram_getNotificationLogs | onCall | europe-west1
telegram_getQueueStats | onCall | europe-west1
telegram_getSubscriberStats | onCall | europe-west1
telegram_getTemplates | onCall | europe-west1
telegram_reprocessDeadLetters | onCall | europe-west1
telegram_sendOneOff | onCall | europe-west1
telegram_sendTestNotification | onCall | europe-west1
telegram_updateConfig | onCall | europe-west1
telegram_updateTemplate | onCall | europe-west1
telegram_validateBot | onCall | europe-west1
telegramChatterBotWebhook | onRequest | europe-west2
telegramDailyReport | onSchedule | europe-west3
telegramOnCallCompleted | onDocumentUpdated | europe-west3
telegramOnNegativeReview | onDocumentCreated | europe-west3
telegramOnNewContactMessage | onDocumentCreated | europe-west3
telegramOnNewProvider | onDocumentCreated | europe-west3
telegramOnPaymentReceived | onDocumentCreated | europe-west3
telegramOnPayPalPaymentReceived | onDocumentCreated | europe-west3
telegramOnSecurityAlert | onDocumentCreated | europe-west3
telegramOnWithdrawalRequest | onDocumentCreated | europe-west3
thresholdOnPaymentCreate | onDocumentCreated | europe-west1 (global default)
thresholdOnPaymentUpdate | onDocumentUpdated | europe-west1 (global default)
trackBloggerGuideUsage | onCall | europe-west2
trackCAPIEvent | onCall | europe-west1
trackGroupAdminPostUsage | onCall | europe-west2
trackGroupAdminResourceUsage | onCall | europe-west2
triggerAdminAlertsDigest | onCall | europe-west1
triggerAuthBackup | onCall | europe-west1
triggerBudgetAlertCheck | onCall | europe-west3
triggerFilingReminders | onCall | europe-west1
triggerFunctionalCheck | onCall (v1) | europe-west3
triggerKYCReminders | onCall | europe-west1
triggerNotificationRetry | onCall | europe-west1
triggerPayPalReminders | onCall | europe-west1
triggerPendingTransfersMonitor | onCall | europe-west1
triggerProviderStatsAggregation | onCall | europe-west1
triggerSecretsAudit | onCall | europe-west1
triggerServiceBalanceCheck | onCall | europe-west3
triggerStuckPaymentsRecovery | onCall | europe-west1
triggerThresholdRecalculation | onCall | europe-west1 (global default)
twilioAmdTwiml | onRequest | europe-west3
twilioCallWebhook | onRequest | europe-west3
twilioConferenceWebhook | onRequest | europe-west3
twilioGatherResponse | onRequest | europe-west3

============================================================================
U
============================================================================
unblockProvider | onCall | europe-west1
unhideProvider | onCall | europe-west1
unsuspendProvider | onCall | europe-west1
updateBankDetails (affiliate) | onCall | europe-west1
updateBloggerProfile | onCall | europe-west2
updateChatterProfile | onCall | europe-west2
updateChatterTrainingProgress | onCall | europe-west2
updateConsentPreferences | onCall (v1) | europe-west1
updateFeedbackStatus | onCall | europe-west1
updateFilingAmounts | onCall | europe-west1
updateFilingStatus | onCall | europe-west1
updateGroupAdminProfile | onCall | europe-west2
updateInfluencerProfile | onCall | europe-west2
updateInfluencerTrainingProgress | onCall | europe-west2
updateProviderActivity | onCall | europe-west1
updateServiceBalanceThreshold | onCall | europe-west3
updateTelegramOnboarding | onCall | europe-west2

============================================================================
V
============================================================================
validateAuthBackup | onCall | europe-west1
validateCouponCallable | onCall | europe-west1
validateDashboardPassword | onCall | europe-west1
validateVAT | onCall | europe-west1
validateVat | onCall | europe-west3
verifyCollectionIntegrity | onCall | europe-west1
verifyPayPalCode | onCall | europe-west1

============================================================================
W
============================================================================
wiseWebhook | onRequest | europe-west1

============================================================================
ALIASES (same function, exported under multiple names)
============================================================================
createAndScheduleCall = createAndScheduleCallHTTPS (same function, same region)
generateProviderFeed = providerCatalogFeed (same function, same region)
subscriptionCreate = createSubscription (from subscription/index.ts)
subscriptionUpdate = updateSubscription (from subscription/index.ts)
subscriptionCancel = cancelSubscription (from subscription/index.ts)
subscriptionReactivate = reactivateSubscription (from subscription/index.ts)
subscriptionPortal = createStripePortalSession (from subscription/index.ts)
subscriptionCheckQuota = checkAiQuota (from subscription/index.ts)
subscriptionRecordCall = recordAiCall (from subscription/index.ts)
subscriptionSetFreeAccess = setFreeAiAccess (from subscription/index.ts)
subscriptionUpdateTrialConfig = updateTrialConfig (from subscription/index.ts)
subscriptionUpdatePlanPricing = updatePlanPricing (from subscription/index.ts)
subscriptionUpdateTrialConfigV2 = updateTrialConfigV2 (from subscription/index.ts)
subscriptionUpdatePlanPricingV2 = updatePlanPricingV2 (from subscription/index.ts)
adminCreateManualBackup = adminCreateBackup (same, from admin/backupRestoreAdmin.ts)
resetMonthlyQuotas = resetBillingCycleQuotas (same, from subscription/scheduledTasks.ts)
paymentCancelWithdrawal = cancelWithdrawal (from payment/index.ts)
paymentDeleteMethod = deletePaymentMethod (from payment/index.ts)
adminProcessGroupAdminWithdrawal = adminProcessWithdrawal (from groupAdmin/index.ts)
adminGetGroupAdminWithdrawalsList = adminGetWithdrawalsList (from groupAdmin/index.ts)
adminCreateGroupAdminResource = adminCreateResource (from groupAdmin/index.ts)
adminUpdateGroupAdminResource = adminUpdateResource (from groupAdmin/index.ts)
adminDeleteGroupAdminResource = adminDeleteResource (from groupAdmin/index.ts)
adminGetGroupAdminResourcesList = adminGetResourcesList (from groupAdmin/index.ts)
adminCreateGroupAdminPost = adminCreatePost (from groupAdmin/index.ts)
adminUpdateGroupAdminPost = adminUpdatePost (from groupAdmin/index.ts)
adminDeleteGroupAdminPost = adminDeletePost (from groupAdmin/index.ts)
adminGetGroupAdminPostsList = adminGetPostsList (from groupAdmin/index.ts)

============================================================================
NOTE: Non-function exports (types, constants, classes, utility functions)
are NOT listed above. Only actual Firebase Cloud Functions that deploy
as Cloud Run services are included.
============================================================================
